"Secuencia","Kilogramos"
1,17880
2,17289
3,20270
4,18309
5,22279
6,21207
7,21423
8,22249
9,19805
10,20478
11,19055
12,15441
13,17381
14,19516
15,17848
16,24397
17,23097
18,19246
19,21903
20,20190
21,17274
22,18189
23,16713
24,17188
25,19078
26,18788
27,21056
28,19588
29,19739
30,21349
31,23835
32,21857
33,22293
34,21562
35,18718
36,18320
37,18069
38,19462
39,24025
40,21036
41,21755
42,22359
43,22278
44,21422
45,19462
46,20123
47,20823
48,19829
49,19160
50,19493
51,21105
52,21268
53,22085
54,21571
55,21426
56,22445
57,20608
58,20752
59,20000
60,18084
61,18150
62,18120
63,19159
64,13043
65,23727
66,22884
67,22139
68,23663
69,21319
70,23456
71,21281
72,18257
73,19759
74,20113
75,23342
76,23342
77,23182
78,21372
79,22969
80,20969
81,19320
82,21868
83,22900
84,18617
85,19207
86,20531
87,20820
88,21480
89,22755
90,20507
91,23657
92,21606
93,23301
94,23934
95,20067
96,18417
97,19672
98,18905
99,20146
100,22732
101,22907
102,22306
103,22032
104,20505
105,21156
106,20172
107,19819
108,19796
109,18085
110,19811
111,20780
112,22164
113,23909
114,21727
115,22593
116,23810
117,22763
118,19686
119,18823
120,17986
121,18499
122,19071
123,25479
124,21281
125,23464
126,22512
127,22615
128,24031
129,22990
130,22188
131,19776
132,18071
133,20576
134,18127
135,21437
136,22458
137,24008
138,22551
139,23282
140,24083
141,22655
142,24507
143,20490
144,17815
145,20514
146,21622
147,23399
148,23475
149,24954
150,21038
151,23650
152,24233
153,24957
154,26319
155,22681
156,20485
157,21444
158,18845
159,21776
160,24352
161,23907
162,24230
163,23210
164,21884
165,23160
166,23948
167,21968
168,20096
169,21307
170,21021
171,24633
172,25475
173,22308
174,23912
175,25400
176,25634
177,26383
178,22708
179,22670
180,21397
