Secuencia,Periodo,Kilogramos
1,2007/01,17880030
2,2007/02,17289282
3,2007/03,20270965
4,2007/04,18309944
5,2007/05,22279226
6,2007/06,21207881
7,2007/07,21423861
8,2007/08,22249040
9,2007/09,19805716
10,2007/10,20478843
11,2007/11,19055957
12,2007/12,15441919
13,2008/01,17381948
14,2008/02,19516495
15,2008/03,17848886
16,2008/04,24397286
17,2008/05,23097442
18,2008/06,19246630
19,2008/07,21903458
20,2008/08,20190431
21,2008/09,17274442
22,2008/10,18189589
23,2008/11,16713199
24,2008/12,17188562
25,2009/01,19078066
26,2009/02,18788451
27,2009/03,21056253
28,2009/04,19588014
29,2009/05,19739690
30,2009/06,21349513
31,2009/07,23835702
32,2009/08,21857813
33,2009/09,22293735
34,2009/10,21562712
35,2009/11,18718966
36,2009/12,18320057
37,2010/01,18069147
38,2010/02,19462319
39,2010/03,24025889
40,2010/04,21036553
41,2010/05,21755006
42,2010/06,22359946
43,2010/07,22278848
44,2010/08,21422546
45,2010/09,19462312
46,2010/10,20123627
47,2010/11,20823095
48,2010/12,19829728
49,2011/01,19160772
50,2011/02,19493869
51,2011/03,21105808
52,2011/04,21268028
53,2011/05,22085012
54,2011/06,21571595
55,2011/07,21426233
56,2011/08,22445764
57,2011/09,20608875
58,2011/10,20752607
59,2011/11,20000788
60,2011/12,18084458
61,2012/01,18150384
62,2012/02,18120851
63,2012/03,19159322
64,2012/04,13043645
65,2012/05,23727215
66,2012/06,22884754
67,2012/07,22139456
68,2012/08,23663332
69,2012/09,21319519
70,2012/10,23456752
71,2012/11,21281020
72,2012/12,18257161
73,2013/01,19759952
74,2013/02,20113143
75,2013/03,23342097
76,2013/04,23342566
77,2013/05,23182854
78,2013/06,21372351
79,2013/07,22969683
80,2013/08,20969853
81,2013/09,19320430
82,2013/10,21868378
83,2013/11,22900384
84,2013/12,18617540
85,2014/01,19207284
86,2014/02,20531831
87,2014/03,20820020
88,2014/04,21480783
89,2014/05,22755836
90,2014/06,20507003
91,2014/07,23657737
92,2014/08,21606237
93,2014/09,23301673
94,2014/10,23934497
95,2014/11,20067648
96,2014/12,18417043
97,2015/01,19672318
98,2015/02,18905759
99,2015/03,20146801
100,2015/04,22732559
101,2015/05,22907138
102,2015/06,22306941
103,2015/07,22032994
104,2015/08,20505086
105,2015/09,21156973
106,2015/10,20172946
107,2015/11,19819094
108,2015/12,19796184
109,2016/01,18085730
110,2016/02,19811175
111,2016/03,20780583
112,2016/04,22164709
113,2016/05,23909871
114,2016/06,21727120
115,2016/07,22593833
116,2016/08,23810950
117,2016/09,22763239
118,2016/10,19686707
119,2016/11,18823657
120,2016/12,17986329
121,2017/01,18499068
122,2017/02,19071107
123,2017/03,25479434
124,2017/04,21281025
125,2017/05,23464497
126,2017/06,22512663
127,2017/07,22615802
128,2017/08,24031925
129,2017/09,22990291
130,2017/10,22188540
131,2017/11,19776874
132,2017/12,18071054
133,2018/01,20576437
134,2018/02,18127748
135,2018/03,21437775
136,2018/04,22458068
137,2018/05,24008799
138,2018/06,22551301
139,2018/07,23282337
140,2018/08,24083698
141,2018/09,22655652
142,2018/10,24507945
143,2018/11,20490089
144,2018/12,17815723
145,2019/01,20514862
146,2019/02,21622395
147,2019/03,23399497
148,2019/04,23475087
149,2019/05,24954277
150,2019/06,21038565
151,2019/07,23650573
152,2019/08,24233614
153,2019/09,24957294
154,2019/10,26319456
155,2019/11,22681350
156,2019/12,20485044
157,2020/01,21444088
158,2020/02,18845308
159,2020/03,21776999
160,2020/04,24352995
161,2020/05,23907435
162,2020/06,24230480
163,2020/07,23210557
164,2020/08,21884580
165,2020/09,23160484
166,2020/10,23948971
167,2020/11,21968345
168,2020/12,20096282
169,2021/01,21307542
170,2021/02,21021905
171,2021/03,24633204
172,2021/04,25475813
173,2021/05,22308401
174,2021/06,23912347
175,2021/07,25400218
176,2021/08,25634683
177,2021/09,26383432
178,2021/10,22708586
179,2021/11,22670944
180,2021/12,21397913
